LogID,Symptom,Issue,Resolution
113551,Version # (if applicable):34978 IsScrapBin (please indicate for FSA issue): Report/UI: Run solve Item(s)/ItemGroup(s)/Location(s): Problem Description: Run solve having error,Run solve having error,"HXVaf have nsmusd for 2 conversion groups, which requires around 7 cell pairs in ww31. ww31 current inv is not good enough to support the conversion."
113565,Version # (if applicable): WW25 version IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): All capacity groups Problem Description: OneMPS does not have RTF for 2025Q1 for all solve groups. The bucket Range is 202424 to 202513,OneMPS does not have RTF for 2025Q1 for all solve groups. The bucket Range is 202424 to 202513, RC: extra 2025Q1 quarter in weekly version due to new quarter roll in
113567,Version # (if applicable):34994 IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: Error to pull Limiter Chart By VGG report. FVL prd.,Error to pull Limiter Chart By VGG report. FVL prd.,The issue has been fixed. Pls help to verify - 
113569,"Version # (if applicable): Data Staging IsScrapBin (please indicate for FSA issue): Report/UI: conversion group mapping Item(s)/ItemGroup(s)/Location(s): CD6 Problem Description: can't save "" modify conversion group'","can't save "" modify conversion group'",Explaination provided: Need to save record first after unassigned vanguard items from Conversion Group. Modify action should be done after save. Issue resolved.
113570,"Version # (if applicable): Data staging.. IsScrapBin (please indicate for FSA issue): Found that PSICapacity Group "" HDM_TIU_ITEMS_ARL H 6C+8A+GT2 (N3B) missing in the ATMPS PSICapGroup Mapping UI Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description:",," HX_CT_MB_ARROW_LAKE_H_6C+8A+GT2_N3B_HFE is coming from Source system VANGAURD and Currently we only take the ones thatâ€™s from Source system EMS. Hence, we are not seeing the PSIG in ATMPS PSICapGroup Mapping UI"
113576,Version # (if applicable): 34961 IsScrapBin (please indicate for FSA issue): Report/UI: TDI Requirement Summary Report Item(s)/ItemGroup(s)/Location(s): PSICapgroup Problem Description: There was no data after loading the report,There was no data after loading the report,"  Report fixed, user can reload the report"
113579,Version # (if applicable): Data Staging IsScrapBin (please indicate for FSA issue): Report/UI: Request Item Setup UI Item(s)/ItemGroup(s)/Location(s): Parameter: Dummy DLCP Problem Description: User can't setup DCLP for NCSE1/NCSE2 in ATCR due to no appear. please help us ASAP as it's urgent to be mapped,User can't setup DCLP for NCSE1/NCSE2 in ATCR due to no appear. please help us ASAP as it's urgent to be mapped,"  Since we're no receiving DLCP mapping for those ReqItem list from the source, are not able to map them to NCSE1/NCSE2. Solution: Help to setup the new merged bom dlcp by using AssySubGroup BOM dlcp"
113588,Version # (if applicable):34999 IsScrapBin (please indicate for FSA issue): Report/UI: Refresh data UI Item(s)/ItemGroup(s)/Location(s): Problem Description: Data refresh for FH horizon is showing failure for SS site. WFDS version : 4965,Data refresh for FH horizon is showing failure for SS site. WFDS version : 4965,Duplicate data received for 'DG2 FC-BGA16E A-1 EXH-BOM P2 8 MB' bom from SPAN as DG2 just configured as CTO. Fixed from ATCR side. User agreed to close the ticket.
113602,Version # (if applicable): 34966 IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: PPV_SPM_SDE+ and PPV_SPM requirement is wrong calculated although sample size is constant at 3Ku. (same in VGG solve and WIF solve),PPV_SPM_SDE+ and PPV_SPM requirement is wrong calculated although sample size is constant at 3Ku. (same in VGG solve and WIF solve),"  Issue has been resolved in SDA version so user is okay to close the pool. User encountered the issue again, root cause is there were different capqual date ranges for different vangard items for same operation volume group. Product: EMR-XCC"
113603,Version # (if applicable): data staging IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): KM5 Problem Description: previously we have 500++ dual flow in KM5 but this cycle after restage left with only 15 items. valid?,previously we have 500++ dual flow in KM5 but this cycle after restage left with only 15 items. valid?,"  DecisionGroups reduced from upstream data. Escalated to VG team, - [VG team:] From the usp interface, the data reduce to the user perform some clean up or etc. For this given Interface, we are NOT JOIN back to TQM to check it is still valid, of course you can JOIN back to TQM to decide is thatâ€™s valid DG & AltOpt to proceed. As you claimed there are a lot of DG/AltOpt gone compare w/ your last cycle, I believed this is correct one, as I checked from DB, given list from Ashish most of them already EXPIRED DG OR TQM. I give any e.g â€œDG_TTT POST BA FOLâ€ w/ Operation  â€œTTT POST BA FOLâ€ this DG is not longer associated w/ any valid TQM anymore since 5/10-5/13â€™24, coz all the TQM belong to this DG has been expired by the user. I would feel that this is clean up activities is happening recently from TD team. Thanks. Regards, Chee Woei  User confirmed to close the pool since they created for those invalid missing items"
113621,Version # (if applicable): 34999 & 34970 Report/UI: Publish Site Response to SPAN Item(s)/ItemGroup(s)/Location(s): Granite Rapids-Compute-M_SRV & Sierra Forest-Compute-L_SRV Problem Description: Starting in ww25 FSA (34970) and continuing in ww26 FSA (34999) the site response for the products above does not seem to have published correctly. SPO reporting shows response of 0.,Starting in ww25 FSA (34970) and continuing in ww26 FSA (34999) the site response for the products above does not seem to have published correctly. SPO reporting shows response of 0.," - SiteReponse published from ATCR from OneMPS was correct. Ramesh answer from OneMPS missmatch: Maida and other have moved Birch Stream products to a merged BOM for July Reset. For example, the Request will not be on â€œSIERRA FOREST FCLGA18N C-0 QXV-BOM Y8 - - ABM FINISHâ€ anymore. Please work with ATCR team to pull the new request before publishing."
113630,Version # (if applicable): 35041 IsScrapBin (please indicate for FSA issue): Report/UI: Management Summary Report Item(s)/ItemGroup(s)/Location(s): Problem Description: Management Summary Report missing sitesplit for BOM: GRANITE RAPIDS-COMPUTE-M GNRUCC::GRANITE RAPIDS FCLGA18N H-16 AAH-BOM Y8 - - but available in MP Loading UI. Please help to check thank you.,Management Summary Report missing sitesplit for BOM: GRANITE RAPIDS-COMPUTE-M GNRUCC::GRANITE RAPIDS FCLGA18N H-16 AAH-BOM Y8 - - but available in MP Loading UI. Please help to check thank you.,it won't show in mgmt summary report as there is no customized product mapping setup for this item in DS. Pls work with your ofg PO for future version.
113639,"Version # (if applicable): #35061 IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: User run solve for EC solve and VGG solve with failed, version copy from site version #35041","User run solve for EC solve and VGG solve with failed, version copy from site version #35041",Solve is successful after zeroing out the operation volume on WW26 for LUNAR LAKE as site split is zero on that week.
